Name,Inventory Icon,Caption,Caption 2,Caption 3,Object Map Link,Element,Fusable,Destroyed on Hit (Fused),Fuse Attack Power (Sword),Fuse Attack Power (Large Sword),Fuse Attack Power (Spear),Fuse Attack Power (Arrow),Fuse Attack Power (Shield),Additional Element Attack Power (Burst),Additional Element Attack Power (Melee Projecile),Additional Element Attack Power (Melee Projecile from Rod),Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Replace Sharpness,Fuse Can Cut,Fuse Shatters Rock,Fuse Adds Shield Bash Attack,Fuse Disables Torch,Mineru Fuse Durability,Hearts Recovered,Cooking Effect,Cooking Effect Level,Cooking Effect Time Boost Duration,Cooking Critical Rate,Sell Price,Buy Price (Rupees),Buy Price (Poes),Dye Color,Needed for Quests,Needed for Armor Upgrades,Scales To,Scale Up On Weapon When Points Total Is,Spawn Time,Despawn Time,Flame Guard Level,Flammable,Burns Out,Freezable,Conducts Electricity,Is Character,Forest Dweller Cooldown (After Equip),Forest Dweller Cooldown (After Attack),Zonai Dispenser Capsule Count (1),Zonai Dispenser Capsule Count (2),Zonai Dispenser Capsule Count (3),Zonai Dispenser Capsule Count (4),Zonai Dispenser Capsule Count (5),Name (Japanese),Caption (Japanese),IsUsable,Cooking Tag 1,Cooking Tag 2,Cooking Tag 3,Cooking Tag (Custom),Cooking Tag (Custom) 2,Internal Fuse SubTypes,ActorName,MaterialCategory,MaterialCategory Order,PouchSortKey,Compendium #,Inventory Order (By type)
Big Hearty Radish,#REF!,"This hearty radish is much larger than the
average radish. When cooked into a dish, it
restores all your hearts and temporarily
increases your maximum hearts.",-,-,Big Hearty Radish,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,Extra Hearts,20,-,-,25,100,-,Peach,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,大マックスラディッシュ,"限界を超えて大きく育ったマックスラディッシュ
滋養強壮成分がとても豊富で 料理に使うと
ハートが全回復し さらに最大値を大きく増やす",TRUE,CookPlant,-,-,Radish,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_C,Plant,03,,236,033
Hearty Radish,#REF!,"A rare radish that grows best in sunny plains.
Cook it before eating to restore all your hearts
and temporarily increase your maximum
hearts.",-,-,Hearty Radish,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,2.5,Extra Hearts,12,-,-,20,80,-,Peach,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,マックスラディッシュ,"日当たりの良い草原に自生する珍しいカブ
料理に使うとハートが全回復し
さらに最大値を増やす効果がある",TRUE,CookPlant,-,-,Radish,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_B,Plant,03,,235,034
Endura Carrot,#REF!,"Highly valued as a medicinal plant, this
carrot contains large amounts of nourishing
energy. When cooked into a dish, it boosts
your stamina beyond its maximum limit.",-,-,Endura Carrot,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,Extra Stamina,4,-,-,20,80,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ガッツニンジン,"薬草としても珍重されてきた 貴重なニンジン
活力の源となる成分を大量に含んでおり
調理すると がんばりゲージが限界を超えて増える",TRUE,CookPlant,-,-,Pumpkin or Carrot,Carrot,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_Q,Plant,03,,241,035
Hyrule Herb,#REF!,"This healthy herb has not changed since
ancient times. Cook it before eating to
increase the number of hearts it restores.",-,-,Hyrule Herb,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,-,-,-,-,3,12,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ハイラル草,"はるか昔から 今の姿をしていたとされる ハーブ
生命力に満ちあふれており 料理に使うと
ハートを回復させる効果がある",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_A,Plant,03,,233,036
Silent Princess,#REF!,"This lovely flower was said to have been a
favorite of the princess of Hyrule. They were
once feared to have gone extinct, but it's not
uncommon to spot them growing in the wild.",-,-,Silent Princess,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,-,Stealth Up,3,-,-,10,30,-,White,0,72,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,姫しずか,"ハイラル王国の姫が愛したと言われる 可憐な花
以前より絶滅が危惧される種だが
近年 まれに自生しているのを見かける事ができる",FALSE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_J,Plant,03,,253,037
Fortified Pumpkin,#REF!,"An extremely tough pumpkin raised for food.
When cooked, that toughness manifests itself
by considerably upping defense.",-,-,Fortified Pumpkin,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Defense Up,2,-,-,5,20,-,Orange,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヨロイカボチャ,"食用として栽培される とても硬いカボチャ
料理に使うと カチコチ成分が効いて
防御力を かなり上げる効果がある",TRUE,CookPlant,-,-,Pumpkin or Carrot,Pumpkin,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Fruit_J,Plant,03,,242,038
Sun Pumpkin,#REF!,"A new variety of pumpkin that soaks up the
sunshine in Hateno Village. Baked into a dish,
it can help heal the effects of exposure
to gloom.",-,-,Sun Pumpkin,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Gloom Recovery,4,-,-,5,20,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヒダマリカボチャ,"ハテノ村で作られている新種のカボチャ
太陽の光をたっぷり浴びて育ち 料理にすると
瘴気に蝕まれた身体を 治癒する効果が得られる",TRUE,CookPlant,-,-,Pumpkin or Carrot,Pumpkin,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Fruit_N,Plant,03,,243,039
Swift Carrot,#REF!,"This carrot is cultivated extensively in villages.
It strengthens the legs and hips when cooked
into a dish, which helps increase your
movement speed.",-,-,Swift Carrot,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.5,Speed Up,1,-,-,4,16,-,Orange,0,10,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ゴーゴーニンジン,"村などでよく作られているニンジン
足腰を強くする効能があると言われており 
調理して食べると 移動速度が上がる",TRUE,CookPlant,-,-,Pumpkin or Carrot,Carrot,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_M,Plant,03,,240,040
Stambulb,#REF!,"A wild plant with bulging roots often found in
cooler climates. It contains nutrients that
increase endurance. Cook it to restore
stamina.",-,-,Stambulb,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.5,Stamina Recovery,1,-,-,4,16,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ガンバリ草,"冷涼な気候を好む 根元のふくらんだ野草
そこに体力や持久力を強化する成分が含まれ
料理に使うとがんばりが回復する効果が現れる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_S,Plant,03,,234,041
Korok Frond,#REF!,"A mysterious leaf that looks like it might be
hiding something behind it. It has some
medicinal value. Attach it to a stick and it
can be used as a fan.",-,-,Korok Frond,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Fan,-,-,-,TRUE,FALSE,FALSE,FALSE,FALSE,10,0.25,-,-,-,-,3,12,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,コログの葉,"何かが隠れていそうな 不思議な葉っぱ
ちょっとした薬効成分がある
棒などに付けて うちわ代わりに使う事もできる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,Fan]",Item_PlantGet_U,Plant,03,1413,256,042
Cool Safflina,#REF!,"This medicinal plant grows in high elevations,
such as mountains in the Hebra or Gerudo
regions. When cooked into a dish, it will
temporarily increase your heat resistance.",-,-,Cool Safflina,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Heat Resistance,1,-,-,3,12,-,Light Blue,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヒンヤリハーブ,"ヘブラやゲルドの標高の高い山地で見かけられる
薬草の一種  葉に身体を冷やす成分を持っており
料理に使うと 耐暑効果を得る事ができる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_E,Plant,03,,237,043
Warm Safflina,#REF!,"This medicinal plant grows in hot regions,
such as the Gerudo Desert. It's warm to the
touch and increases your cold resistance
when cooked into a dish.",-,-,Warm Safflina,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Cold Resistance,1,-,-,3,12,-,Orange,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ポカポカハーブ,"ゲルド地方など 気温の高い場所で育つ薬草の一種
実や葉は辛味成分が強く 料理に使うと
寒さに強くなる効果を得る事ができる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_F,Plant,03,,238,044
Mighty Thistle,#REF!,"This medicinal plant is known for its sharp
thorns and for the fruit it bears. The fruit
contains a compound that increases attack
power when cooked into a dish.",-,-,Mighty Thistle,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Attack Up,1,-,-,5,20,-,Orange,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ツルギソウ,"葉や実にある鋭いトゲが特徴の薬草
一時的に筋力を増やす特殊な成分が含まれていて
料理に使うと 攻撃力が増える効果が発揮される",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_G,Plant,03,,245,045
Armoranth,#REF!,"This tough medicinal plant cannot be
broken, but it can be cooked. Its
durable yet flexible fibers raise your
defense when cooked into a dish.",-,-,Armoranth,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Defense Up,1,-,-,5,20,-,Purple,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヨロイソウ,"たとえ踏まれても折れない タフな薬草
その丈夫でしなやかな繊維質は 料理して食べると
体幹を強化する効能があり 防御力が増す",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_H,Plant,03,,246,046
Blue Nightshade,#REF!,"A plant that grows in quieter areas of Hyrule.
At night, it gives off a soft glow.
Cook with it to increase your stealth.",-,-,Blue Nightshade,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Stealth Up,1,-,-,4,16,-,Blue,4,24,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,しのび草,"主に森や草地に咲く花
夜になるとほのかに光を放つ
料理に使うと静かさを増やす効果が発揮される",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_I,Plant,03,,247,047
Electric Safflina,#REF!,"This medicinal plant grows abundantly in the
Gerudo Desert. Its peculiar fibers conduct
electricity, which will increase your electricity
resistance when cooked into a dish.",-,-,Electric Safflina,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Shock Resistance,1,-,-,3,12,-,Light Yellow,0,24,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ビリビリハーブ,"ゲルド砂漠に多く自生している薬草の一種
電流を外へと逃がす特殊な繊維質を持ち
料理に使うと 電気への耐性を得る事ができる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_L,Plant,03,,239,048
Swift Violet,#REF!,"This vitality-rich flower blooms mainly on
cliffsides. When cooked into a dish, the
nourishing compounds increase your
movement speed.",-,-,Swift Violet,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Speed Up,2,-,-,10,40,-,Purple,0,90,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ゴーゴースミレ,"切り立った崖にも咲く 生命力豊かな花
料理に使うと 蓄えられた滋養成分によって
移動速度が上がる効果を得られる",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_O,Plant,03,,244,049
Sundelion,#REF!,"A wild plant that grows in the sun at high
altitudes. Soaked in sunlight, its petals can
restore health depleted by gloom when used
in cooking.",-,-,Sundelion,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,Gloom Recovery,12,-,-,8,32,-,Yellow,10,75,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヒダマリ草,"日当たりの良い 高空に生える野草
陽の光をたっぷり浴びて育った花弁は 料理すると
瘴気に蝕まれた身体を 治癒する効能がある",TRUE,CookPlant,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_PlantGet_R,Plant,03,,248,050
Raw Gourmet Meat,#REF!,"This prized cut of meat is usually from a large
animal. Any connoisseur would rank this
tender, juicy cut of meat ""gourmet."" Expect
an exquisite meal when cooking with this.",-,-,-,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,-,-,-,-,35,140,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,極上ケモノ肉,"主に大型の動物から手に入る とても貴重な肉
極上の名に負けない 旨味と食べごたえを持つ
料理に使えば 絶品の出来上がりが期待できる",TRUE,CookMeat,-,-,Tier 3 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_11,Meat,04,,-,051
Raw Whole Bird,#REF!,"This prized meat can be obtained from
certain birds. It gets full points for flavor,
nutrition, and volume. It pairs perfectly with
other ingredients or can be enjoyed alone.",-,-,-,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,-,-,-,-,35,140,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,極上トリ肉,"一部の鳥から手に入る事がある とても貴重な肉
味 栄養 ボリューム どれを取っても満点
焼いても料理に使っても 大活躍する素材",TRUE,CookMeat,-,-,Tier 3 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_12,Meat,04,,-,052
Raw Prime Meat,#REF!,"A fresh, high-quality piece of animal meat.
This stuff isn't easy to come by, so savor it.
Cook it to recover more hearts.",-,-,Raw Prime Meat,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,1.5,-,-,-,-,15,60,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,上ケモノ肉,"新鮮で上質な動物の肉
なかなか手に入るものではないが
料理に使うと高いハート回復効果がある",TRUE,CookMeat,-,-,Tier 2 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_02,Meat,04,,-,053
Raw Bird Thigh,#REF!,"A high-quality piece of meat that's hard to
come by. You can eat it raw, but cooking it
first will recover more hearts.",-,-,-,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,1.5,-,-,-,-,15,60,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,上トリ肉,"鳥からたまに採る事ができる上等な肉
そのままでも食べられるが 料理に使うと
より高いハート回復効果を発揮する",TRUE,CookMeat,-,-,Tier 2 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_07,Meat,04,,-,054
Raw Meat,#REF!,"Meat obtained from animals in plains and
forests. You can eat it raw, but cooking it will
make it more delicious and nutritious.",-,-,Raw Meat,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,1,-,-,-,-,8,32,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,ケモノ肉,"平原や森にいる動物から手に入る肉
そのままでも食べられるが 調理すると
おいしさアップでハートの回復量も増える",TRUE,CookMeat,-,-,Tier 1 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_01,Meat,04,,-,055
Raw Bird Drumstick,#REF!,"This meat is tougher and chewier than a
standard steak. Tastes better cooked.",-,-,-,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,1,-,-,-,-,8,32,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,0,0,0,0,0,トリ肉,"鳥から採れた新鮮な肉
ケモノ肉に比べると脂が少なくヘルシー
焼いて食べた方がおいしく食べられる",TRUE,CookMeat,-,-,Tier 1 Meat,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning]",Item_Meat_06,Meat,04,,-,056
Courser Bee Honey,#REF!,"Honey straight from the hive is chock-full of
nutrients. Cooking this into a meal unlocks
the potential of these nutrients and provides
a stamina-recovery effect.",-,-,Courser Bee Honey,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Rod,Beehive,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,2,Stamina Recovery,2,-,-,10,40,-,Orange,3,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ガンバリバチのハチミツ,"巣から採れるハチミツは 栄養満点！
その高栄養価により 隠し味として使った料理は
がんばりゲージ回復の効果を持つ",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,Rod,Beehive]",BeeHome,Boost,05,,254,057
Hylian Rice,#REF!,"This grain is a favorite among residents of
Kakariko Village. It's grown in regions with a
lot of water and is quite versatile. Used as an
ingredient in things like risotto and rice balls.",-,-,Hylian Rice,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,-,-,00:30,-,3,12,-,White,21,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ハイラル米,"カカリコ村などで好んで食べられる穀物
主に水が豊富な地方で作られている
リゾットやおにぎりといった 米料理の材料になる",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Material_03,Boost,05,,-,058
Bird Egg,#REF!,"A fresh bird egg necessary for making dishes
such as omelets and crepes. You can snag
them from birds' nests if you're sneaky.
Nutritious and delicious, perfect for cooking.",-,-,Bird Egg,-,TRUE,TRUE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,-,-,01:00,10%,3,12,-,Yellow,10,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,トリのタマゴ,"新鮮な鳥のタマゴ
太い木の上などに作られる 鳥の巣から手に入る
栄養が豊富で 料理の材料に最適",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldSurfingNoStaggerWithDeath]",Item_Material_04,Boost,05,,-,059
Tabantha Wheat,#REF!,"This grain is cultivated extensively on the
Tabantha Plains. It's ground finely with a
millstone to be used in cooking. Use it to
make things such as stews and breads.",-,-,Tabantha Wheat,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,-,-,00:30,-,3,12,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,タバンタ小麦,"タバンタ地方の平原で 広く作られてきた穀物
石臼で細かい粉にして料理に使う
シチューやパンなどの材料になる",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Material_07,Boost,05,,-,060
Hateno Cheese,#REF!,"A cheese made from Hateno cow's milk.
Add it to a warm dish, and enjoy its rich flavor
and melty texture.",-,-,Hateno Cheese,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,-,-,00:50,10%,5,20,-,Light Yellow,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ハテノチーズ,"ハテノウシのミルクで作ったチーズ
温かい料理に入れればとろーり溶けて
濃厚な味わいが楽しめる",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Material_10,Boost,05,,-,061
Fresh Milk,#REF!,"This fresh milk comes from Hateno-bred cows
and white goats from all across Hyrule. It's
delicious on its own, but can be used in
soups and stews too.",-,-,Fresh Milk,-,TRUE,TRUE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.5,-,-,00:50,-,3,12,-,White,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,フレッシュミルク,"村などで飼われている ハテノウシやシロヤギから
採れる新鮮なミルク  そのまま飲んでも
美味しいが スープやシチューの材料にもなる",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldSurfingNoStaggerWithDeath]",Item_Material_05,Boost,05,,-,062
Acorn,#REF!,"Often found on the ground near trees.
Squirrels adore this nut, so you may have
competition while foraging. Add one to a
meal for a nutty seasoning.",-,-,Acorn,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.25,-,-,00:20,-,2,8,-,Brown,3,30,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,どんぐり,"森に落ちている木の実
リスの大好物で こっそりため込んでいる
料理に使うと ハートの回復量が少し増える",TRUE,CookSpice,-,-,Nut,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Fruit_K,Boost,05,,-,063
Chickaloo Tree Nut,#REF!,"Small birds love this nut. You can eat it raw
for a minor effect, but it can also be added
as a spice to other recipes.",-,-,Chickaloo Tree Nut,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.25,-,-,00:10,-,3,12,-,Crimson,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,小鳥の木の実,"小鳥が好む小さな木の実
そのまま食べてもほとんど効果はないが
料理に入れるスパイスとして使われる",TRUE,CookSpice,-,-,Nut,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Fruit_L,Boost,05,,-,064
Cane Sugar,#REF!,"When boiled with other ingredients, the cane
breaks down into a sweet juice necessary
for making cakes and other sweets. It's
commonly found in ingredients stores.",-,-,Cane Sugar,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,-,-,00:50,30%,3,12,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,きび砂糖,"煮込んで出てくる甘い汁は
ケーキなどのお菓子作りには欠かせない
町や村の素材屋で売られている",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Material_01,Boost,05,,-,065
Goron Spice,#REF!,"Made from several types of spices, this
secret Goron seasoning has been handed
down for generations. An initial wave of
spiciness paves the way for the sweetness.",-,-,Goron Spice,-,TRUE,TRUE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,-,1,01:00,10%,4,16,-,Crimson,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ゴロンの香辛粉,"様々な香辛料を混ぜた ゴロン秘伝のスパイス
ガツンとした辛さが 素材の旨さを引き出す 
調合方法は 代々受け継がれているらしい",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldSurfingNoStaggerWithDeath]",Item_Material_02,Boost,05,,-,066
Goat Butter,#REF!,"Butter made from the milk of a domesticated
white goat. In addition to being used in
dishes like stews and meunière, it's often
used when making cakes and other sweets.",-,-,Goat Butter,-,TRUE,FALSE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,-,-,00:50,10%,3,12,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヤギのバター,"飼われているシロヤギのミルクで 作られたバター
シチューやムニエルといった料理以外にも
ケーキなどのお菓子作りで よく使われる",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown]",Item_Material_06,Boost,05,,-,067
Monster Extract,#REF!,"A result of Kilton's research into monsters,
this suspicious spice can be used to punch
up dishes while cooking. Apparently it can be
used to make a number of monstrous meals.",-,-,Monster Extract,-,TRUE,TRUE,1,1,1,1,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,-,-,-,-,12,50,-,Purple,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,マモノエキス,"キルトンの魔物研究の成果のひとつ
料理に混ぜて使う怪しいスパイス
様々なマモノ料理が作れると言われているが…",TRUE,CookSpice,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldSurfingNoStaggerWithDeath]",Item_Material_08,Boost,05,,-,068
